"","isolate","class","averageAbundance","occupancyPer","soil"
"806rcbc143","806rcbc143","Dominants",245.965174129353,60.530679933665,"SE"
"806rcbc161","806rcbc161","Dominants",373.326699834163,80.7628524046435,"UG"
"806rcbc162","806rcbc162","Dominants",151.014925373134,80.4311774461028,"UG"
"806rcbc164","806rcbc164","Dominants",473.013266998342,86.4013266998342,"UG"
"806rcbc165","806rcbc165","Dominants",427.709784411277,83.4162520729685,"UG"
"806rcbc166","806rcbc166","Dominants",474.469320066335,90.0497512437811,"UG"
"806rcbc167","806rcbc167","Dominants",338.910447761194,79.2703150912106,"UG"
"806rcbc168","806rcbc168","Dominants",369.276948590381,79.4361525704809,"UG"
"806rcbc169","806rcbc169","Dominants",947.470978441128,89.8839137645108,"UG"
"806rcbc170","806rcbc170","Dominants",784.935323383085,85.7379767827529,"UG"
"806rcbc171","806rcbc171","Dominants",665.389718076285,89.8839137645108,"UG"
"806rcbc172","806rcbc172","Dominants",307.903814262023,75.1243781094527,"UG"
"806rcbc174","806rcbc174","Dominants",581.117744610282,89.2205638474295,"UG"
"806rcbc175","806rcbc175","Dominants",508.855721393035,75.9535655058043,"UG"
"806rcbc178","806rcbc178","Dominants",234.922056384743,80.0995024875622,"UG"
"806rcbc183","806rcbc183","Dominants",276.741293532338,79.9336650082919,"UG"
"806rcbc184","806rcbc184","Dominants",711.295190713101,90.0497512437811,"UG"
"806rcbc186","806rcbc186","Dominants",150.334991708126,72.8026533996683,"UG"
"806rcbc187","806rcbc187","Dominants",398.029850746269,83.5820895522388,"UG"
"806rcbc188","806rcbc188","Dominants",1045.52072968491,93.3665008291874,"UG"
"806rcbc189","806rcbc189","Dominants",160.830845771144,63.681592039801,"UG"
"806rcbc191","806rcbc191","Dominants",452.129353233831,86.0696517412935,"UG"
"806rcbc192","806rcbc192","Dominants",231.701492537313,69.8175787728027,"UG"
"806rcbc193","806rcbc193","Dominants",174.182421227197,73.3001658374793,"UG"
"806rcbc194","806rcbc194","Dominants",429.873963515755,90.0497512437811,"UG"
"806rcbc208","806rcbc208","Dominants",768.091210613599,53.5655058043118,"UG"
"806rcbc216","806rcbc216","Dominants",756.744610281924,77.7777777777778,"UG"
"806rcbc217","806rcbc217","Dominants",666.427860696517,71.1442786069652,"UG"
"806rcbc225","806rcbc225","Dominants",230.669983416252,65.0082918739635,"UG"
"806rcbc227","806rcbc227","Dominants",184.802653399668,69.3200663349917,"UG"
"806rcbc230","806rcbc230","Dominants",825.131011608624,58.5406301824212,"UG"
"806rcbc234","806rcbc234","Dominants",527.553897180763,66.5008291873963,"UG"
"806rcbc236","806rcbc236","Dominants",520.850746268657,64.5107794361526,"UG"
"806rcbc237","806rcbc237","Dominants",183.719734660033,58.0431177446103,"UG"
"806rcbc241","806rcbc241","Dominants",345.792703150912,59.0381426202322,"UG"
"806rcbc243","806rcbc243","Dominants",1256.44776119403,56.3847429519071,"UG"
"806rcbc251","806rcbc251","Dominants",352.081260364842,76.2852404643449,"UG"
"806rcbc252","806rcbc252","Dominants",818.053067993367,72.9684908789386,"UG"
"806rcbc254","806rcbc254","Dominants",469.338308457711,52.0729684908789,"UG"
"806rcbc256","806rcbc256","Dominants",1121.35489220564,79.7678275290216,"UG"
"806rcbc257","806rcbc257","Dominants",2256.98175787728,76.1194029850746,"UG"
"806rcbc260","806rcbc260","Dominants",808.721393034826,69.485903814262,"UG"
"806rcbc272","806rcbc272","Dominants",851.75456053068,57.0480928689884,"UG"
"806rcbc275","806rcbc275","Dominants",440.22056384743,51.9071310116086,"UG"
"806rcbc287","806rcbc287","Dominants",489.875621890547,54.0630182421227,"UG"
"806rcbc288","806rcbc288","Dominants",194.457711442786,75.6218905472637,"Others"
"806rcbc290","806rcbc290","Dominants",338.603648424544,67.9933665008292,"UG"
"806rcbc292","806rcbc292","Dominants",216.154228855721,64.1791044776119,"UG"
"806rcbc294","806rcbc294","Dominants",417.189054726368,60.6965174129353,"UG"
"806rcbc303","806rcbc303","Dominants",276.880597014925,57.0480928689884,"UG"
"806rcbc311","806rcbc311","Dominants",1514.92703150912,65.6716417910448,"UG"
"806rcbc317","806rcbc317","Dominants",761.814262023217,65.8374792703151,"UG"
"806rcbc319","806rcbc319","Dominants",667.807628524046,64.0132669983416,"UG"
"806rcbc320","806rcbc320","Dominants",524.714759535655,51.4096185737977,"UG"
"806rcbc321","806rcbc321","Dominants",193.167495854063,70.4809286898839,"UG"
"806rcbc323","806rcbc323","Dominants",274.257048092869,50.0829187396352,"UG"
