Plant,Ref,Line1,Line2,Batch,Biomass
48311,R1,GPID_00106,COMENDADOR,MMS Batch 3,13.57
47733,N1,GPID_00222,Tina,MMS Batch 1,15.30
47712,N1,GPID_00104,709,MMS Batch 1,15.00
47705,N1,GPID_00105,1000,MMS Batch 1,14.82
47575,R1,GPID_00103,ILB 6584,MMS Batch 1,14.81
47711,N1,GPID_00063,287,MMS Batch 1,14.76
47731,N1,GPID_00080,0T0VC (Alameda),MMS Batch 1,14.68
47957,R1,GPID_00111,BORJANA,MMS Batch 2,14.65
48372,N1,GPID_00099,PEGOLETE,MMS Batch 3,14.61
47683,N1,GPID_00091,CANA,MMS Batch 1,14.40
48051,N1,GPID_00098,XBJ90.04-6-2-1-1 (QUIJOTE),MMS Batch 2,14.33
47665,N1,GPID_00103,ILB 6584,MMS Batch 1,14.30
47737,N1,ILB938/2,ILB938/2,MMS Batch 1,14.28
47726,N1,GPID_00053,Fanfare,MMS Batch 1,14.24
48747,N2,GPID_00136,Zahra,MMS Batch 4,14.21
47690,N1,GPID_00097,XBJ90.03-16-1-1-1 (NAVIO),MMS Batch 1,14.20
47695,N1,GPID_00237,RIL35L,MMS Batch 1,14.20
48720,N2,GPID_00225,81360,MMS Batch 4,14.20
47720,N1,GPID_00147,Arrisot/1EP1-1_1-4-1-1,MMS Batch 1,14.19
47583,R1,GPID_00133,Tiffany,MMS Batch 1,14.14
48438,N2,GPID_00137,Farah,MMS Batch 3,14.14
47729,N1,GPID_00140,Victor,MMS Batch 1,14.11
49172,N2,GPID_00103,ILB 6584,MMS Batch 5,14.11
47732,N1,GPID_00064,370,MMS Batch 1,14.10
47580,R1,GPID_00089,BARACA,MMS Batch 1,14.09
49175,N2,GPID_00080,0T0VC (Alameda),MMS Batch 5,14.09
47736,N1,Giza402Gš,Giza402Gš,MMS Batch 1,14.07
49174,N2,GPID_00063,287,MMS Batch 5,14.07
47713,N1,GPID_00211,FAB7369,MMS Batch 1,14.05
47603,R1,GPID_00092,CARAMBA,MMS Batch 1,14.04
47715,N1,GPID_00113,Condor,MMS Batch 1,14.04
48047,N1,GPID_00111,BORJANA,MMS Batch 2,14.00
