"","isolate","class","averageAbundance","occupancyPer","soil"
"806rcbc143","806rcbc143","Dominants",954.532338308458,60.530679933665,"SE"
"806rcbc161","806rcbc161","Dominants",1487.34494195688,81.0945273631841,"UG"
"806rcbc162","806rcbc162","Dominants",602.789386401327,80.5970149253731,"UG"
"806rcbc164","806rcbc164","Dominants",1840.57213930348,86.5671641791045,"UG"
"806rcbc165","806rcbc165","Dominants",1676.01326699834,83.4162520729685,"UG"
"806rcbc166","806rcbc166","Dominants",1910.21061359867,90.547263681592,"UG"
"806rcbc167","806rcbc167","Dominants",1336.16086235489,79.4361525704809,"UG"
"806rcbc168","806rcbc168","Dominants",1449.39469320066,79.6019900497513,"UG"
"806rcbc169","806rcbc169","Dominants",3713.48258706468,90.2155887230514,"UG"
"806rcbc170","806rcbc170","Dominants",3148.56053067993,85.7379767827529,"UG"
"806rcbc171","806rcbc171","Dominants",2664.10447761194,90.0497512437811,"UG"
"806rcbc172","806rcbc172","Dominants",1245.52736318408,75.2902155887231,"UG"
"806rcbc174","806rcbc174","Dominants",2340.95024875622,89.3864013266998,"UG"
"806rcbc175","806rcbc175","Dominants",2044.65339966832,76.1194029850746,"UG"
"806rcbc178","806rcbc178","Dominants",948.394693200663,80.2653399668325,"UG"
"806rcbc183","806rcbc183","Dominants",1062.6600331675,80.2653399668325,"UG"
"806rcbc184","806rcbc184","Dominants",2851.65174129353,90.0497512437811,"UG"
"806rcbc186","806rcbc186","Dominants",595.77943615257,72.8026533996683,"UG"
"806rcbc187","806rcbc187","Dominants",1578.20232172471,84.2454394693201,"UG"
"806rcbc188","806rcbc188","Dominants",4140.4991708126,93.5323383084577,"UG"
"806rcbc189","806rcbc189","Dominants",647.948590381426,64.0132669983416,"UG"
"806rcbc191","806rcbc191","Dominants",1827.33665008292,86.0696517412935,"UG"
"806rcbc192","806rcbc192","Dominants",906.439469320066,70.3150912106136,"UG"
"806rcbc193","806rcbc193","Dominants",687.860696517413,73.6318407960199,"UG"
"806rcbc194","806rcbc194","Dominants",1701.62354892206,90.547263681592,"UG"
"806rcbc208","806rcbc208","Dominants",3070.67661691542,54.0630182421227,"UG"
"806rcbc216","806rcbc216","Dominants",2999.61194029851,77.9436152570481,"UG"
"806rcbc217","806rcbc217","Dominants",2661.89054726368,71.4759535655058,"UG"
"806rcbc225","806rcbc225","Dominants",902.686567164179,65.0082918739635,"UG"
"806rcbc227","806rcbc227","Dominants",738.855721393035,69.485903814262,"UG"
