"","Line1","Dominants"
"1","GPID_00049",2.758962
"2","GPID_00019",2.679849
"3","GPID_00004",3.142192
"4","GPID_00036",2.794631
"5","GPID_00012",3.084511
"6","GPID_00046",2.800782
"7","GPID_00011",2.410357
"8","GPID_00060",2.874536
"9","GPID_00025",3.060202
"10","GPID_00073",2.464123
"11","GPID_00006",2.281307
"12","GPID_00063",2.918262
"13","GPID_00028",2.812747
"14","GPID_00037",2.273438
"15","GPID_00065",2.820336
"16","GPID_00074",2.294977
"17","GPID_00070",2.693473
"18","GPID_00047",2.737915
"19","GPID_00013",2.957178
"20","GPID_00045",2.959215
"21","GPID_00010",2.460973
"22","GPID_00009",2.807728
"23","GPID_00007",2.54896
"24","GPID_00042",2.996418
"25","GPID_00040",2.088732
"26","GPID_00039",2.087203
"27","GPID_00097",2.929253
"28","GPID_00098",2.764164
"29","GPID_00080",3.004747
"30","GPID_00095",2.051558
"31","GPID_00083",2.931423
"32","GPID_00096",2.475383
"33","GPID_00106",2.400082
"34","GPID_00103",2.938794
"35","GPID_00094",2.860876
"36","GPID_00109",3.25167
"37","GPID_00081",2.560185
"38","GPID_00107",2.785136
"39","GPID_00102",2.70502
"40","GPID_00108",2.892588
"41","GPID_00093",2.481968
"42","GPID_00092",2.714917
"43","GPID_00091",2.670723
"44","GPID_00090",2.690153
"45","GPID_00111",3.177417
"46","GPID_00089",3.136405
"47","GPID_00110",2.236296
"48","GPID_00088",2.85573
"49","GPID_00087",2.298323
"50","GPID_00084",2.636981
"51","GPID_00105",3.004344
"52","GPID_00104",2.814101
"53","GPID_00099",2.576376
"54","GPID_00017",2.663671
"55","GPID_00018",2.745104
"56","GPID_00022",2.764187
"57","GPID_00002",2.582542
"58","GPID_00003",2.646864
"59","GPID_00005",2.318792
"60","GPID_00008",2.205486
"61","GPID_00015",2.443107
"62","GPID_00016",3.071407
"63","GPID_00023",2.493243
"64","GPID_00024",2.854068
"65","GPID_00026",3.076701
"66","GPID_00027",2.829956
"67","GPID_00032",2.852728
"68","GPID_00061",2.786868
"69","GPID_00072",3.051872
"70","GPID_00053",2.597321
