"","Line1","Generalists"
"1","GPID_00049",2.394377
"2","GPID_00019",2.659454
"3","GPID_00004",2.286546
"4","GPID_00036",2.029158
"5","GPID_00012",2.245432
"6","GPID_00046",2.561347
"7","GPID_00011",2.388598
"8","GPID_00060",0.796795
"9","GPID_00025",2.12382
"10","GPID_00073",2.372835
"11","GPID_00006",2.151723
"12","GPID_00063",2.281075
"13","GPID_00028",1.958669
"14","GPID_00037",2.099173
"15","GPID_00065",1.727227
"16","GPID_00074",2.045024
"17","GPID_00070",2.258681
"18","GPID_00047",1.694133
"19","GPID_00013",2.349964
"20","GPID_00045",2.608386
"21","GPID_00010",2.513448
"22","GPID_00009",3.018795
"23","GPID_00007",2.905203
"24","GPID_00042",2.442315
"25","GPID_00040",2.908351
"26","GPID_00039",2.491031
"27","GPID_00097",2.778187
"28","GPID_00098",3.058724
"29","GPID_00080",1.423749
"30","GPID_00095",3.702111
"31","GPID_00083",1.701927
"32","GPID_00096",2.259882
"33","GPID_00106",3.460759
"34","GPID_00103",2.351401
"35","GPID_00094",1.477779
"36","GPID_00109",2.000882
"37","GPID_00081",2.165556
"38","GPID_00107",2.07251
"39","GPID_00102",2.393317
"40","GPID_00108",1.410441
"41","GPID_00093",2.469788
"42","GPID_00092",1.589136
"43","GPID_00091",2.171548
"44","GPID_00090",2.290685
"45","GPID_00111",2.189787
"46","GPID_00089",1.648421
"47","GPID_00110",3.361517
"48","GPID_00088",2.387387
"49","GPID_00087",2.566756
"50","GPID_00084",1.735132
"51","GPID_00105",2.689777
"52","GPID_00104",3.179485
"53","GPID_00099",1.442734
"54","GPID_00017",1.795582
"55","GPID_00018",2.356912
"56","GPID_00022",2.137281
"57","GPID_00002",2.69371
"58","GPID_00003",3.00298
"59","GPID_00005",2.635611
"60","GPID_00008",2.09617
"61","GPID_00015",2.726036
"62","GPID_00016",2.557241
"63","GPID_00023",1.576943
"64","GPID_00024",1.691605
"65","GPID_00026",1.491879
"66","GPID_00027",2.095692
"67","GPID_00032",2.72884
"68","GPID_00061",3.280967
"69","GPID_00072",1.672482
