"Taxa","Dominants"
"GPID_00049",236577.666667
"GPID_00036",215721.5
"GPID_00012",279960
"GPID_00046",260103
"GPID_00011",226380
"GPID_00060",291690
"GPID_00025",144560
"GPID_00073",285092
"GPID_00006",196837.666667
"GPID_00063",259926.666667
"GPID_00028",290567
"GPID_00037",240874.333333
"GPID_00065",270386.666667
"GPID_00074",259659.333333
"GPID_00070",277744
"GPID_00047",307056
"GPID_00013",262902
"GPID_00045",269372
"GPID_00010",287300.666667
"GPID_00007",287181.333333
"GPID_00040",264971.333333
"GPID_00098",206422.666667
"GPID_00080",248037
"GPID_00095",289973
"GPID_00083",247544.333333
"GPID_00096",253878
"GPID_00106",266954.666667
"GPID_00103",264282.666667
"GPID_00094",236533.5
"GPID_00109",297678.666667
"GPID_00081",227684.333333
"GPID_00107",228929
"GPID_00108",238316
"GPID_00093",225188.333333
"GPID_00092",259369
"GPID_00090",272195.666667
"GPID_00111",265437.333333
"GPID_00110",293345.666667
"GPID_00088",242315
"GPID_00084",275156.666667
"GPID_00105",276266
"GPID_00104",308123
"GPID_00099",237663
"GPID_00017",267138.666667
"GPID_00018",273159.333333
"GPID_00022",275265.333333
"GPID_00002",258705.666667
"GPID_00015",223081
"GPID_00016",274477.666667
"GPID_00023",230297
"GPID_00024",228065.666667
"GPID_00026",259034.333333
"GPID_00027",256621.666667
"GPID_00032",259519.75
"GPID_00061",285570.666667
"GPID_00072",325309.333333
"GPID_00053",301955
"GPID_00148",272720.333333
"GPID_00151",336147.666667
"GPID_00154",261228
"GPID_00158",249039.666667
"GPID_00159",302902.666667
"GPID_00162",284048.5
"GPID_00163",234904.666667
"GPID_00164",219878
"GPID_00166",261873.333333
"GPID_00167",216593.333333
"GPID_00169",279778
"GPID_00171",260396.333333
"GPID_00172",201416.666667
"GPID_00175",219165.666667
"GPID_00176",233180.333333
"GPID_00178",267311.666667
"GPID_00179",278254
"GPID_00183",284668
"GPID_00189",220861.5
"GPID_00190",290224.666667
"GPID_00193",249191.666667
"GPID_00195",217186.666667
"GPID_00196",254243
"GPID_00199",244622
"GPID_00200",278964.333333
"GPID_00147",296683
"GPID_00149",311001.333333
"GPID_00153",261513.666667
"GPID_00155",267395
"GPID_00157",313809
"GPID_00134",236274.333333
"GPID_00115",264100.333333
"GPID_00213",294700.5
"GPID_00211",233149.666667
"GPID_00208",257903.333333
"GPID_00204",307251.666667
"GPID_00216",260963.333333
"GPID_00219",291056
"GPID_00215",222033
"GPID_00209",270024.5
"GPID_00205",297503.333333
"GPID_00222",262006.333333
"GPID_00218",343134.5
"GPID_00214",268364.666667
"GPID_00212",212348.666667
"GPID_00122",244651
"GPID_00121",293474
"GPID_00124",262519.666667
"GPID_00133",298980
"GPID_00119",282366
"GPID_00117",275685.666667
"GPID_00118",236604
"GPID_00116",269661.666667
"GPID_00112",247915.333333
"GPID_00123",219708.333333
"GPID_00113",297414
"GPID_00136",303174.333333
"GPID_00125",251411.666667
"GPID_00126",232063
"GPID_00127",211286.333333
"GPID_00128",227984.666667
"GPID_00129",262586.666667
"GPID_00100",261393.666667
"GPID_00085",248090
"GPID_00021",333694
"GPID_00001",258446
"GPID_00029",276465.666667
"GPID_00062",264971.5
"GPID_00064",255200
"GPID_00076",179975
"GPID_00082",242627
"GPID_00069",267547.333333
"GPID_00068",275120.333333
"GPID_00030",288065
"GPID_00232",278483.333333
"GPID_00235",259535
"GPID_00228",250156.5
"GPID_00225",271303.666667
"GPID_00140",265175
"GPID_00181",237477.5
"GPID_00141",271629.666667
"GPID_00201",237970
"GPID_00137",229053.666667
"GPID_00165",247924.666667
"GPID_00139",280843
"GPID_00059",311506.666667
"GPID_00182",262706
"GPID_00168",279242.666667
"GPID_00138",263947
"GPID_00058",244638.666667
"GPID_00236",280670.333333
"GPID_00146",316006
"GPID_00192",274360.666667
"GPID_00237",263069.666667
"GPID_00052",255257
"GPID_00173",254372.333333
"GPID_00194",288715
"GPID_00150",254077.333333
"GPID_00224",184136
"GPID_00131",294653.333333
"GPID_00207",253979.666667
"GPID_00031",232051.5
"GPID_00184",236294.666667
"GPID_00186",294478.666667
"GPID_00187",275306
"GPID_00202",294005
"GPID_00203",278163.333333
"GPID_00143",278883.666667
"GPID_00152",202977.666667
"GPID_00160",267955
"GPID_00161",247970
"GPID_00170",300103.666667
"GPID_00177",269082.666667
"GPID_00239",302544.333333
"GPID_00241",260584.5
