"","Plant","Ref","Line1","Line2","Batch","Biomass","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","alpG","alpD","alpS"
"ID_10047560","ID_10047560","R1","GPID_00109","OMEYA","MMS Batch 1",13.12,-0.0687706974139756,-0.04283864392535,-0.028834579426504,-0.0515178712087618,0.1895854139054,-0.0099331457445159,0.141518507435249,0.0845928517511272,0.0139181775748871,0.110419102282874,1.26509936917664,3.74240354173471,1.9236557226791
"ID_10047561","ID_10047561","R1","GPID_00042","DVF1736","MMS Batch 1",11.41,-0.0746188246767055,0.0595987068564576,0.0198948147804628,0.00684670747087203,-0.0249222528744081,0.0221070666155433,-0.0149539187976071,0.0315639833928356,0.0115958338589381,-0.0145034921816765,1.35225889589125,3.05317661651821,2.38936287145015
"ID_10047562","ID_10047562","R1","GPID_00124","NPZ17.7303","MMS Batch 1",12.6,0.0887967355476796,0.013953809044635,-0.0566983573239679,0.0121760655877889,-0.0106852493091428,0.0464984256284292,0.023553855203003,0.0129008996931258,0.0746151390029813,0.0155849002509629,1.82441106923586,2.55922664315805,2.32185004652942
"ID_10047563","ID_10047563","R1","GPID_00122","NPZ16.7650","MMS Batch 1",12.37,0.101160315247427,0.0258975424059228,-0.0862093488086112,0.0121589163942416,-0.0115849411504474,0.0568017792007402,0.0149388840724502,0.02168386904453,0.0118024661505444,0.0122769911433505,1.62513448168954,3.17862335484615,2.81114462579402
"ID_10047564","ID_10047564","R1","GPID_00022","DVF310|DULUC","MMS Batch 1",12.77,0.0700352994602691,-0.0165692747511991,0.0787125036102737,-0.0835808296334435,-0.0108771231587482,0.00739270009286548,-0.00854171206259078,0.00512416464155094,0.00257633395550694,0.0312347753472195,1.37833855164217,3.26833270137712,2.57711581369944
"ID_10047565","ID_10047565","R1","GPID_00196","St8419/2","MMS Batch 1",12.88,0.0770068337404661,0.00441375815986299,-0.00165077603348884,-0.0769938468222792,-0.0219230144405238,0.0448364822804083,0.00412830982132282,0.0231436432108676,-0.0413615829194288,0.062255267711025,0.781777593318795,3.10963615189759,2.5501245387635
"ID_10047566","ID_10047566","R1","GPID_00137","Farah","MMS Batch 1",13.44,-0.0665147953199528,-0.0487298585402283,-0.0305442135266289,-0.0044744400942166,-0.0383425741436064,-0.0875043339374935,-0.10107564697106,0.0444379796283213,0.0253134989631068,0.076221292504799,1.01846380192858,3.62266824488308,3.02294052723647
"ID_10047567","ID_10047567","R1","GPID_00072","1067","MMS Batch 1",12.37,0.020285470052824,-0.0538873410580612,0.0526268609429594,-0.0827833095207526,-0.0304556596461192,0.0412898815883141,-0.0271249261871244,0.0106790782367577,0.0318026876313396,0.00870944741062192,0.629954160364251,3.41085029540744,2.16873368631767
"ID_10047568","ID_10047568","R1","GPID_00102","VIKINGA","MMS Batch 1",12.84,-0.0417496039028005,-0.0951777731706322,-0.0314697170302383,-0.0582324745154524,0.144060557679043,0.0491420771499417,0.125700385515966,-0.204753792730786,-0.0105768273174548,-0.0139450059069184,0.661699905500639,3.07372025197483,2.40781044668068
"ID_10047569","ID_10047569","R1","GPID_00114","Espresso","MMS Batch 1",12.71,0.094505696449746,0.0523732289389158,-0.134195592555356,0.0704526580823598,-0.000621724911474317,0.0750017579481952,0.0473330332217854,0.0224430287023318,-0.146221652032076,0.0584593196521229,1.24703474795401,3.04290968683026,2.38909438641068
"ID_10047570","ID_10047570","R1","GPID_00165","Fab303","MMS Batch 1",12.93,-0.0855661826986023,0.198907448826622,0.0484757708797799,0.0156180068487111,0.012391634213791,-0.00796004360267666,-0.022333164153767,-0.0860185321174379,0.00326710233941571,0.0113608105528819,1.7053045942185,2.94543863082341,2.68666521941034
"ID_10047571","ID_10047571","R1","GPID_00143","47301","MMS Batch 1",12.91,0.0278978095253774,-0.0589648093502214,0.124322106850938,0.163829797800904,0.0413959990383815,-0.0255013262460934,0.0224734390758869,-0.00690521597531845,-0.189754246384685,0.0191466289452183,1.98795608307624,2.99003649943977,1.98334057718348
"ID_10047572","ID_10047572","R1","GPID_00191","Nora38","MMS Batch 1",10.62,-0.0651547932632366,-0.096691203185289,-0.0556702766177501,0.0136713564287278,-0.0714311531519827,0.0857198133362459,-0.0898634485355043,-0.084104610488713,-0.0236869687334728,-0.0728366162740097,1.75482770047295,2.82942774284196,2.217376783281
"ID_10047573","ID_10047573","R1","GPID_00046","DVF2407|BPL261","MMS Batch 1",12.14,0.00931971275733161,-0.0487197024471797,0.0252108122369262,-0.0550802010993919,-0.0203407402088925,0.037726909509715,-0.0372010580637931,-0.029454170219645,0.0152030116818027,0.0490138766698262,1.13801037864244,3.13624980690633,2.03381913597117
"ID_10047574","ID_10047574","R1","GPID_00163","FAB288","MMS Batch 1",12.91,0.0726107459864895,-0.0220683856119485,0.0556531470446069,-0.0874435724056138,0.0100055831162122,0.00565914022694205,0.00763832010010231,-0.0220922239107692,0.0307774226180471,0.00568151177868769,2.03169523536574,2.74731896284397,2.75562539332841
"ID_10047575","ID_10047575","R1","GPID_00103","ILB 6584","MMS Batch 1",14.81,-0.0781088923383323,-0.0956865517650086,-0.0514965554681854,0.0130515049330285,-0.059484803999158,0.0877909383153494,-0.0739680601581159,-0.0495860625976907,-0.0146803413854962,-0.0744486604426466,0.724193416439644,3.33254079657818,2.67561759731088
"ID_10047576","ID_10047576","R1","GPID_00132","Samira","MMS Batch 1",13.15,-0.0690132272903439,-0.0552776808406656,-0.0408083604586174,0.00319465374675556,-0.0463323052274526,-0.118453396649331,-0.10115533566753,0.0563037163976806,0.00952586173066473,0.110812516336412,2.11869007697077,2.55887812537583,2.46153228019634
"ID_10047577","ID_10047577","R1","GPID_00070","1017","MMS Batch 1",13.3,-0.0585659590861154,-0.0783003123340369,-0.0287876729572094,-0.00663934520852304,-0.0228817385323057,0.0636557627247046,-0.0179787516350669,-0.0697190302811587,-0.00165131803894723,-0.0153735347087694,0.483837109764656,3.32343471637432,2.73721862291273
"ID_10047578","ID_10047578","R1","GPID_00205","131708","MMS Batch 1",12.5,-0.0859247801288583,0.196702663899266,0.0510256251412374,0.0146163514465678,0.0160304981989604,-0.0105888703091737,-0.0191460017798001,-0.0820260234685474,0.0059742601154284,0.0120351892889162,0.440543311539902,2.8705583636547,2.21956336436725
"ID_10047579","ID_10047579","R1","GPID_00182","K_Tick","MMS Batch 1",12.24,0.0823874117173944,-0.00232232559023129,0.0400713996522346,-0.0945934740804011,-0.0110898567372169,0.00821463467816175,-0.0195496231795137,0.00871879459981392,0.0127043706736423,0.0331555585617631,1.96177805553353,3.36870201113412,2.97452880458269
