"","Line1","Specialists"
"1","GPID_00049",2.398981
"2","GPID_00019",2.182141
"3","GPID_00004",2.102876
"4","GPID_00036",2.433896
"5","GPID_00012",1.695027
"6","GPID_00046",1.856806
"7","GPID_00011",2.155599
"8","GPID_00060",1.67185
"9","GPID_00025",2.371516
"10","GPID_00073",1.659659
"11","GPID_00006",1.464911
"12","GPID_00063",2.138872
"13","GPID_00028",1.854791
"14","GPID_00037",1.955485
"15","GPID_00065",2.506347
"16","GPID_00074",1.468463
"17","GPID_00070",1.869386
"18","GPID_00047",1.583474
"19","GPID_00013",1.804276
"20","GPID_00045",2.533981
"21","GPID_00010",2.133045
"22","GPID_00009",2.360689
"23","GPID_00007",1.46742
"24","GPID_00042",2.29262
"25","GPID_00040",1.707945
"26","GPID_00039",1.755645
"27","GPID_00097",2.313858
"28","GPID_00098",2.481489
"29","GPID_00080",2.545165
"30","GPID_00095",1.683092
"31","GPID_00083",2.438804
"32","GPID_00096",1.411071
"33","GPID_00106",1.599452
"34","GPID_00103",2.253104
"35","GPID_00094",2.011476
"36","GPID_00109",2.243242
"37","GPID_00081",2.064052
"38","GPID_00107",2.426021
"39","GPID_00102",2.005331
"40","GPID_00108",2.343903
"41","GPID_00093",1.866068
"42","GPID_00092",2.279564
"43","GPID_00091",2.084566
"44","GPID_00090",1.733389
"45","GPID_00111",2.125655
"46","GPID_00089",2.349279
"47","GPID_00110",1.90654
"48","GPID_00088",2.056279
"49","GPID_00087",1.55688
"50","GPID_00084",2.043697
"51","GPID_00105",2.263501
"52","GPID_00104",2.203318
"53","GPID_00099",2.397227
"54","GPID_00017",1.970731
"55","GPID_00018",2.178506
"56","GPID_00022",1.817466
"57","GPID_00002",1.926779
"58","GPID_00003",2.180304
"59","GPID_00005",1.731354
"60","GPID_00008",1.528929
"61","GPID_00015",2.182479
"62","GPID_00016",2.406813
"63","GPID_00023",1.379744
"64","GPID_00024",2.413139
"65","GPID_00026",2.188845
"66","GPID_00027",1.994334
"67","GPID_00032",1.900989
"68","GPID_00061",1.880564
"69","GPID_00072",1.875682
"70","GPID_00053",1.477776
"71","GPID_00148",2.333142
"72","GPID_00151",1.548023
"73","GPID_00154",1.852187
"74","GPID_00158",1.944248
"75","GPID_00159",1.547719
"76","GPID_00162",2.443546
"77","GPID_00163",2.158058
"78","GPID_00164",1.841432
"79","GPID_00166",2.316422
"80","GPID_00167",1.885662
"81","GPID_00169",2.345483
"82","GPID_00171",2.395653
"83","GPID_00172",2.33254
"84","GPID_00174",1.401178
"85","GPID_00175",2.056077
"86","GPID_00176",2.400006
"87","GPID_00178",1.995476
"88","GPID_00179",1.915592
"89","GPID_00180",1.284699
"90","GPID_00183",2.610259
"91","GPID_00185",1.85759
"92","GPID_00188",1.485809
"93","GPID_00189",1.995654
"94","GPID_00190",1.958259
"95","GPID_00191",1.480459
"96","GPID_00193",2.086123
"97","GPID_00195",2.52069
"98","GPID_00196",2.190751
"99","GPID_00197",0.860951
"100","GPID_00198",2.245135
"101","GPID_00199",2.15587
"102","GPID_00200",1.95581
"103","GPID_00147",2.196741
"104","GPID_00149",2.008137
"105","GPID_00153",2.750914
"106","GPID_00155",2.521899
"107","GPID_00157",1.734231
"108","GPID_00134",2.008704
"109","GPID_00115",2.730882
"110","GPID_00221",2.198279
"111","GPID_00213",2.387317
"112","GPID_00211",2.199849
"113","GPID_00208",2.302097
"114","GPID_00204",1.730104
"115","GPID_00216",2.095773
"116","GPID_00219",2.156873
"117","GPID_00215",2.366671
"118","GPID_00220",2.121327
"119","GPID_00223",2.353818
"120","GPID_00209",2.298586
"121","GPID_00205",2.095919
"122","GPID_00222",2.050775
"123","GPID_00218",1.607008
"124","GPID_00214",2.026267
"125","GPID_00212",2.06314
"126","GPID_00122",2.656504
"127","GPID_00121",2.116549
"128","GPID_00124",1.990102
"129","GPID_00114",1.953211
"130","GPID_00133",2.144332
"131","GPID_00119",1.683568
"132","GPID_00117",2.199735
"133","GPID_00118",2.52196
"134","GPID_00116",2.188309
"135","GPID_00112",2.372354
"136","GPID_00135",1.746154
"137","GPID_00120",2.171561
"138","GPID_00123",1.839197
"139","GPID_00113",2.298362
"140","GPID_00130",2.474948
"141","GPID_00136",1.639264
"142","GPID_00132",2.123219
"143","GPID_00125",2.270625
"144","GPID_00126",2.113418
"145","GPID_00127",1.934747
"146","GPID_00128",1.898037
"147","GPID_00129",2.31446
"148","GPID_00100",1.690913
"149","GPID_00085",2.510249
"150","GPID_00021",1.663146
"151","GPID_00001",2.468844
"152","GPID_00014",2.475427
"153","GPID_00029",2.293298
"154","GPID_00062",1.9192
"155","GPID_00064",2.358188
"156","GPID_00076",2.149601
"157","GPID_00082",1.535704
"158","GPID_00086",2.26863
"159","GPID_00069",2.243688
"160","GPID_00020",1.691415
"161","GPID_00068",2.010529
"162","GPID_00030",1.78207
"163","GPID_00077",2.247103
"164","GPID_00232",2.211239
"165","GPID_00235",1.885673
"166","GPID_00228",1.831734
"167","GPID_00225",1.848762
"168","GPID_00140",2.549418
"169","GPID_00181",1.742399
"170","GPID_00141",2.193473
"171","GPID_00201",2.293101
"172","GPID_00137",2.564318
"173","GPID_00165",2.071593
"174","GPID_00139",2.331592
"175","GPID_00059",2.175389
"176","GPID_00182",2.562536
"177","GPID_00142",1.661783
"178","GPID_00168",1.856434
"179","GPID_00138",2.1158
"180","GPID_00051",2.520599
"181","GPID_00058",2.028051
"182","GPID_00236",1.752815
"183","GPID_00146",1.156152
"184","GPID_00192",2.228376
"185","GPID_00237",2.319298
"186","GPID_00052",2.324919
"187","GPID_00231",1.939695
"188","GPID_00173",1.982298
"189","GPID_00194",2.027976
"190","GPID_00230",2.329031
"191","GPID_00150",1.921319
"192","GPID_00234",2.105464
"193","GPID_00224",2.098366
"194","GPID_00131",1.74215
"195","GPID_00207",2.251711
"196","GPID_00031",1.558519
"197","GPID_00184",1.777578
"198","GPID_00186",1.847892
"199","GPID_00187",2.210536
"200","GPID_00202",1.877425
"201","GPID_00203",2.57853
"202","GPID_00143",1.508259
"203","GPID_00152",2.374264
"204","GPID_00156",2.181017
"205","GPID_00160",1.782824
"206","GPID_00161",2.072701
"207","GPID_00170",1.885839
"208","GPID_00177",1.983924
"209","GPID_00238",1.818158
"210","GPID_00239",2.226346
"211","GPID_00240",1.871007
"212","GPID_00241",2.86217
