"","Taxa","Specialists"
"1","GPID_00049",108800
"2","GPID_00019",92055
"3","GPID_00004",134857.666667
"4","GPID_00036",90722.5
"5","GPID_00012",108207.333333
"6","GPID_00046",92116.333333
"7","GPID_00011",131594.666667
"8","GPID_00060",80076
"9","GPID_00025",160848
"10","GPID_00073",96793
"11","GPID_00006",144539.666667
"12","GPID_00063",128317.666667
"13","GPID_00028",78874
"14","GPID_00037",135357
"15","GPID_00065",93777.666667
"16","GPID_00074",100511
"17","GPID_00070",103685.666667
"18","GPID_00047",76701.666667
"19","GPID_00013",116755.666667
"20","GPID_00045",96647.333333
"21","GPID_00010",90078.333333
"22","GPID_00009",101317.666667
"23","GPID_00007",83678.666667
"24","GPID_00042",123814
"25","GPID_00040",105724.666667
"26","GPID_00039",109555
"27","GPID_00097",80794.333333
"28","GPID_00098",165974
"29","GPID_00080",120283.666667
"30","GPID_00095",104062
"31","GPID_00083",124464.666667
"32","GPID_00096",123130
"33","GPID_00106",94610.666667
"34","GPID_00103",97012
"35","GPID_00094",129016.5
"36","GPID_00109",70964
"37","GPID_00081",138385.666667
"38","GPID_00107",116730.666667
"39","GPID_00102",150650.666667
"40","GPID_00108",119361.333333
"41","GPID_00093",142628.666667
"42","GPID_00092",121887.5
"43","GPID_00091",151422.333333
"44","GPID_00090",102031.333333
"45","GPID_00111",108780
"46","GPID_00089",124065.333333
"47","GPID_00110",78069.666667
"48","GPID_00088",89324
"49","GPID_00087",122046.333333
"50","GPID_00084",89744
"51","GPID_00105",95635.666667
"52","GPID_00104",69641.333333
"53","GPID_00099",81697
"54","GPID_00017",111924
"55","GPID_00018",95284.333333
"56","GPID_00022",102001.666667
"57","GPID_00002",116821
"58","GPID_00003",119627.5
"59","GPID_00005",142977.333333
"60","GPID_00008",68939.5
"61","GPID_00015",121922.333333
"62","GPID_00016",91278
"63","GPID_00023",165027.5
"64","GPID_00024",123455.666667
"65","GPID_00026",122017.333333
"66","GPID_00027",108351
"67","GPID_00032",113579
"68","GPID_00061",76712.333333
"69","GPID_00072",62447.333333
"70","GPID_00053",55435
"71","GPID_00148",91363.333333
"72","GPID_00151",54186.666667
"73","GPID_00154",102539
"74","GPID_00158",110106.666667
"75","GPID_00159",87634
"76","GPID_00162",79566.5
"77","GPID_00163",127320.333333
"78","GPID_00164",145939.5
"79","GPID_00166",103140.666667
"80","GPID_00167",118064.666667
"81","GPID_00169",101651.333333
"82","GPID_00171",123850.666667
"83","GPID_00172",128884.333333
"84","GPID_00174",130143.333333
"85","GPID_00175",167090.333333
"86","GPID_00176",109077.333333
"87","GPID_00178",64832.333333
"88","GPID_00179",107613
"89","GPID_00180",41099
"90","GPID_00183",96348.5
"91","GPID_00185",79676
"92","GPID_00188",92752
"93","GPID_00189",154028
"94","GPID_00190",75640.666667
"95","GPID_00191",110961.333333
"96","GPID_00193",133923.666667
"97","GPID_00195",142248
"98","GPID_00196",107269.666667
"99","GPID_00197",107849
"100","GPID_00198",87405.666667
"101","GPID_00199",86618.333333
"102","GPID_00200",82444
