"","Overall"
"`4__336521115`",14.6996327139824
"`1__1038653389`",11.4038658036747
"`1__487925717`",19.4464454613911
"`1__57202106`",19.1121940108974
"`1__367379701`",13.8007698154957
"`1__1447931614`",15.2315074684554
"`6__1158658124`",27.6532770106705
"`5__619470505`",14.0771615862128
"`1__1038652711`",17.184783855879
"`1__1038652715`",14.2108386246204
"`5__1297371554`",20.5346931479074
"`6__797671809`",9.48939512659834
"`6__835053244`",27.00274550508
"`5__619470536`",7.93510258591454
"`1__1190777175`",28.0647984484312
"`1__1190777174`",14.4408051444637
"`1__625143836`",23.3705669830219
"`2__238011679`",15.0075448752479
"`5__2446382`",11.0118554122263
"`5__198648328`",22.3386758866951
"`2__1693074166`",100
"`2__326154101`",10.1902406821728
"`1__852858389`",18.8283713941357
"`4__377395108`",3.86965070274139
"`2__94795690`",10.1831419848424
"`1__866101643`",10.6899714859994
"`1__866101653`",22.1675038546471
"`1__57179738`",22.8489651730438
"`5__1245513533`",17.9983410153748
"`4__503099252`",53.0040531827956
"`1__484082592`",33.1106462784585
"`3__533007099`",13.2094518331885
"`1__1472533411`",32.7470705617224
"`4__255250793`",48.9661749698088
"`2__326161915`",14.3615532623977
"`5__2437687`",16.2825173895297
"`5__2437694`",27.3983914300112
"`2__94795688`",10.5681475041223
"`4__1622573318`",20.3868866508932
"`6__870960171`",10.1284741712097
"`1__1472533522`",11.2700562569111
"`7__197818210`",20.840734521546
"`2__1324048412`",9.07101308487574
"`7__337078939`",10.955087329297
"`4__710493840`",14.7489721906716
"`4__710493851`",18.9210963988373
"`4__1556730140`",32.9840537359173
"`5__1421892552`",9.67681030489228
"`2__359699052`",15.0055281151273
"`1__1190778459`",10.2512915715452
"`1__161643963`",37.9953189312917
"`5__1297371167`",14.2744775342092
"`2__1693067516`",19.7055305524039
"`1__868884207`",14.9876337088951
"`6__869996151`",9.74596249086144
"`4__271192470`",10.8055358451119
"`1__1019053668`",38.0522149077768
"`1__42868847`",45.5319093597813
"`5__1297371170`",17.0033535460646
"`6__1295035670`",49.9150467616794
"`1__1019053684`",35.1217560949394
"`2__476398458`",31.7162753260102
"`7__191720563`",28.2980721623808
"`4__377394998`",11.8169406141069
"`4__271193206`",6.941501396939
"`1__803181854`",12.6711039121159
"`5__1037976628`",39.6163650787055
"`3__511691403`",6.4599332140893
"`4__1508618605`",15.9555762511482
"`4__731993534`",14.732709283129
"`1__1472932531`",9.6907078821041
"`6__1158656442`",9.66819624400544
"`6__701924221`",13.1294332670248
"`3__1613826101`",10.1221719124847
"`6__934188524`",26.2966201148631
"`1__167979316`",73.8194811594918
"`2__1573722697`",18.864439391376
"`3__531699807`",9.23527265137914
"`2__326151879`",14.1895539304603
"`1__858597079`",5.16869510718885
"`6__880923932`",26.9416456545105
"`2__183368561`",14.9643166416225
"`2__711008434`",8.29782003338462
"`6__934244302`",26.5517272323225
"`1__1038730427`",9.79040191916818
"`1__1038653091`",7.73104139769948
"`1__33716531`",15.7618802464035
"`4__810602329`",11.668046792345
"`1__625143831`",25.6810192778872
"`2__326153478`",12.9805653831124
"`1__1530308612`",11.6767187462825
"`5__758825835`",11.9868680659457
