"","Overall"
"`2__1016760282`",63.3963928350909
"`4__360966131`",19.5944097930609
"`6__294937748`",14.1894146487958
"`4__543103497`",18.1083833303315
"`7__1463078159`",25.5152471425708
"`7__1000593848`",28.6596858467105
"`5__1035569848`",22.8975255874061
"`6__163631758`",15.846494980377
"`1__454290843`",32.7215931148858
"`6__1086427765`",33.333210283166
"`7__1264447862`",13.9379157427767
"`7__1063017723`",15.047484541242
"`2__562575702`",53.591733343543
"`5__1555204563`",15.415690537421
"`5__1558888773`",16.0740595768571
"`5__1558892140`",15.7429688991321
"`5__1558891451`",16.2905305533729
"`2__1800840430`",24.8036460177427
"`3__1644488456`",39.6801474123685
"`3__563405533`",16.8809763709933
"`2__739831531`",99.5755155866877
"`3__700001277`",43.7509485298833
"`1__436384103`",32.8720374061528
"`1__1171726605`",26.1948799478633
"`3__44525972`",21.0172733568531
"`1__260468973`",13.173519672145
"`4__609813609`",15.66840305736
"`2__274456102`",13.4325215568656
"`4__1233738680`",14.3423080317785
"`4__1233747704`",14.9451423737997
"`4__24881752`",100
"`5__19894263`",30.3729510611953
"`3__276288358`",17.2043594132279
"`6__297050512`",40.2774421815414
"`4__1053795816`",10.7227770021613
"`7__1139678099`",83.0674941374106
"`2__1075884240`",32.677558470237
"`5__172774182`",19.3254402521141
"`3__1150890016`",21.5447949726699
"`6__18561783`",15.3552431386641
"`2__1072852133`",23.8960845588201
"`7__1210672465`",27.4636619382344
"`6__264812597`",8.78118417506184
"`4__1347751572`",15.7928865871612
"`4__1146103264`",73.0983991211936
"`7__224710466`",13.593251430023
"`3__64229878`",39.7355962384404
"`4__407524902`",50.0123439453737
"`6__1336594706`",16.3594066207206
"`7__115260470`",27.2990953268661
"`6__365228161`",24.0419507053461
"`6__878592921`",14.7344273300598
"`4__1447655839`",15.7281645673432
"`1__300739381`",27.1598694575648
"`5__1280229503`",31.9909317802175
"`7__547982746`",28.2510566826483
"`5__517148856`",25.8656661697586
"`6__1328074708`",18.3801326263145
"`6__1328074699`",17.771121981536
"`4__594638034`",40.811025013807
"`5__1413576466`",33.5509896478861
"`1__436384023`",24.4132433212037
"`3__1401237168`",0
"`6__1328074657`",22.3669710245676
"`5__1412645090`",24.8432548899415
"`1__849817647`",15.612083904097
"`4__22442259`",17.3827410692577
"`4__1535190826`",39.5731137420681
"`4__1622978070`",24.2391572873789
"`7__1475694358`",35.4871010931501
"`6__180564511`",15.0023211642402
"`6__180536593`",6.19594261686587
"`5__414085683`",64.7946488284453
"`2__184869263`",15.7505222711521
"`2__184869318`",15.1425205847644
"`7__882341207`",15.9989490360178
"`2__1684488120`",12.8449967679401
"`7__1070547922`",26.1971374874765
"`1__712261114`",25.8370678380717
"`7__1482227179`",50.2431835179084
"`4__400970306`",88.356164574543
"`3__64172072`",13.6977396775204
"`4__1146103205`",62.8627046734602
"`1__769818492`",29.9555117122853
"`3__219237031`",15.2074489813971
"`6__1120642517`",31.1032502335229
"`7__931035009`",18.9986594107111
"`6__882749202`",15.0634438861836
"`2__1139238936`",24.9186197146483
"`3__721090399`",15.5272280655817
"`5__217372113`",13.9967507094308
"`3__1089364858`",19.9130692728439
"`3__1648821587`",42.3411630836963
"`1__1506846496`",27.0665599725558
"`7__1165578491`",18.8044677333283
"`3__1322908168`",27.0875949682057
"`4__22442627`",16.126586531616
"`6__1074547464`",19.4028180418978
"`5__1307771168`",19.9334546895481
"`2__274456464`",18.5899379816371
"`4__1446358538`",31.3794359433652
"`2__1011486091`",16.6428641408808
"`6__878592560`",14.3100311467485
"`7__773202294`",18.3855382287111
"`3__1150890055`",24.1199647952089
"`4__22407347`",17.3798795706692
"`3__543807515`",15.7807213256099
"`6__362399148`",27.0019445042347
"`6__362399141`",21.0482655614812
"`6__294645054`",15.0975016879632
"`3__1689869091`",20.0154640581811
"`7__219808655`",22.9190533126554
"`1__1178560369`",23.8361957339168
"`7__1070547895`",32.7835829736691
"`4__1517253506`",25.49972634558
"`2__1059537741`",16.9493955244887
"`5__1128270036`",34.28784040325
"`3__374626074`",18.3762188563645
"`4__328778469`",17.3128534632195
"`4__1243532943`",17.9154264578488
"`4__22442865`",13.4247595406567
"`2__939451008`",15.1911943500418
"`3__1404790342`",9.5316131030065
"`7__1047358701`",16.0451918436469
"`1__757936422`",16.5654144606297
"`2__1783628359`",15.3814366424249
"`2__94056464`",20.919485060936
"`4__1549103209`",16.0927316204186
"`5__1554460561`",26.7635392842683
"`7__919848029`",13.0949306339645
"`7__919848139`",15.7999099186352
"`4__1497767351`",15.2662437400173
"`7__1378362866`",50.3512209485239
"`3__219236982`",20.0045589959005
"`4__1447655645`",13.5410753754767
"`4__1447655750`",17.3373110339272
"`7__880124731`",20.8094818042395
"`6__411489833`",26.1096416937588
"`2__811453676`",12.3478807669512
"`6__1328074646`",18.3399516323406
"`2__1643094068`",11.8849460169065
"`4__1549113340`",16.9343543624906
"`5__1420958450`",25.1391355453755
"`7__836358668`",19.2784265807466
"`2__1630041197`",17.2783488751979
"`7__1313791387`",35.8308914514326
"`3__1089364743`",21.4153771083439
"`4__1146103855`",35.5819482135244
"`2__1800839707`",31.6392260837221
"`2__1781403771`",14.9137033980956
"`7__833398307`",28.1732635923624
"`7__931035060`",25.7458670874461
"`3__1404790344`",12.3227702653521
"`5__1558890938`",15.6111691923115
"`6__304440029`",37.6509238956409
"`2__1664428399`",31.97143373385
"`6__144440940`",30.8736500586641
"`1__820401024`",33.6464963272657
"`6__388600661`",10.8829189038378
"`4__1174107355`",17.7255534804072
"`6__180566321`",8.87766777819236
"`5__1533127816`",23.0229018282149
"`1__712240530`",15.609248616923
"`3__605481375`",15.8009026281765
"`3__605484250`",17.5850708872384
"`2__330002332`",19.2995862081216
"`6__845767036`",35.5999077178135
"`7__1210667382`",23.9631843718478
"`7__1210667441`",22.4736476757017
"`6__510672337`",18.118162094202
"`5__1552109778`",20.719199751954
"`6__1073218116`",29.4845705759439
"`3__1148482442`",23.8252631780777
"`1__769818643`",58.117800973199
"`3__1638485080`",15.294766648362
"`3__1415043421`",15.0125404598185
"`6__1155519034`",18.4403080177268
"`3__563407168`",15.8604802936602
"`6__882749060`",21.0351400626185
"`6__882749066`",17.399553775746
"`6__1047816086`",16.7181004640326
"`7__1180626149`",27.2532269111137
"`1__25416429`",15.790101954838
"`6__179309209`",52.9529408085788
"`4__1345133650`",12.9415055299451
"`3__1210602004`",16.9156034667746
"`2__1781404218`",14.740155489338
"`2__1781404292`",16.518474938735
"`3__1648871570`",20.6167065545208
"`3__1648871548`",20.222287818032
"`6__463565237`",23.8200195691065
"`1__769818716`",40.8440401073125
"`7__1088812934`",17.4960414587144
"`6__298654563`",12.9775831235684
"`7__1109223262`",18.7134013045
"`3__1150890092`",19.8873290293576
"`2__1617030756`",9.55486650089471
"`1__162675865`",55.4265216607613
"`3__1086246156`",16.9373376789996
"`7__322978473`",40.8649183774854
