"","Overall"
"`4__1476284736`",14.6734859189952
"`4__1476285571`",13.1206368411217
"`4__1476284725`",21.5427307930371
"`1__1439110449`",8.09215513535846
"`4__552576588`",16.9124538077062
"`3__526928203`",67.4832705591685
"`3__319008606`",15.7697295198766
"`6__1326271674`",8.78504965929062
"`4__1371271166`",12.6183920584878
"`6__338500028`",18.6734548872869
"`2__842492140`",14.5963685603112
"`4__924061688`",28.2503846110643
"`1__811289541`",17.2855588817071
"`4__1181663165`",12.0496888165469
"`6__163351699`",22.0446784260362
"`5__905972558`",12.6500328072305
"`5__5912810`",26.0181400822447
"`2__287752441`",10.4125710509774
"`3__39985450`",20.811524861565
"`2__277202142`",12.0668157347904
"`3__173114518`",22.3228337124034
"`2__859884311`",10.3587912196523
"`7__133997404`",19.339398918636
"`2__1566481098`",13.7496244406189
"`4__495592301`",13.4231987266259
"`2__161868648`",22.5739605165082
"`6__992482454`",12.6817707040432
"`4__1180006640`",15.5904923220285
"`6__338500073`",11.4465244908962
"`5__5912881`",33.7616525393308
"`5__1531593887`",13.707472866095
"`5__1400387688`",32.0048054537881
"`5__1400387691`",21.9691151419333
"`2__287914148`",13.9541997067578
"`6__402955214`",41.7927280122607
"`3__1620072342`",13.7249201944375
"`7__367848007`",20.8442595114937
"`5__1172448384`",16.1341307894503
"`2__349378014`",11.416524611882
"`2__349378019`",17.49436488073
"`7__1075913831`",12.7014836050069
"`4__1332743294`",28.7040626013539
"`3__64244018`",13.0742692433152
"`4__932423221`",13.1969899043629
"`4__932423152`",27.460792536655
"`1__980540718`",14.3620050083758
"`4__352750138`",11.0667590976687
"`3__80417549`",12.985556484506
"`2__1003483482`",11.9847459341322
"`3__173110798`",14.5884306029684
"`5__1217057376`",14.3569849152565
"`5__1172466904`",11.3713042006568
"`2__668667941`",19.595530292836
"`7__500723264`",27.7085223609905
"`7__145581605`",38.4702336212038
"`1__359910488`",12.8172059370592
"`3__173109638`",13.9388489478345
"`4__495593677`",10.7649037823171
"`7__1183601806`",30.6341715097655
"`2__287914256`",14.981092851997
"`2__287917262`",8.76847748885779
"`4__1162083177`",9.72439033988099
"`4__1162083041`",12.071817563423
"`4__1048790897`",8.65798070038437
"`3__1620071962`",14.2047115534567
"`3__985440260`",12.3507034337616
"`4__1476284859`",10.3133028431697
"`3__64243998`",18.3211145449796
"`7__367865999`",29.1945564571338
