"","Overall"
"`7__931164671`",12.4561484821777
"`1__769818643`",20.3221766667975
"`7__1165578491`",16.0754677095135
"`3__700001277`",32.2950303805279
"`3__1606328310`",13.4951780912236
"`3__19449121`",12.9288283797224
"`6__730668614`",14.6590073810266
"`1__769818492`",19.9346368412859
"`7__974866764`",18.231472190204
"`1__1495696348`",6.60063233195785
"`1__769818716`",19.3628064057815
"`3__90034764`",17.8004717843457
"`6__706063153`",11.9734122474886
"`6__646654882`",32.7321442222832
"`6__294937748`",14.5678287926872
"`7__1165578461`",13.5676436483553
"`1__421401176`",100
"`6__264812597`",45.9286202306931
"`6__889507002`",14.8318182893464
"`5__1331119430`",18.9902751642743
"`4__1233059173`",13.4464145988402
"`6__463565335`",5.02417864886538
"`2__1057907617`",30.7782732270847
"`2__274456464`",8.18338107667815
"`7__158517805`",13.835459900777
"`2__1640579492`",18.997896227395
"`4__625737906`",14.7749707350466
"`1__769818529`",14.0088832942525
"`1__769818530`",9.05912836192411
"`3__532325696`",12.7121022252689
"`1__569278684`",14.2108636923168
"`5__1484035135`",12.3707639699364
"`2__1016760282`",23.1196313927472
"`7__496418086`",11.2970196309745
"`3__1391001037`",6.56319392112793
"`3__532335617`",9.6025835978201
"`1__1322850502`",11.277689054541
"`2__650622981`",10.3493260363946
"`3__532333758`",9.32001714891714
"`3__276288358`",9.38501884671678
"`1__567104005`",9.64746338880648
"`3__44525972`",14.2414541064996
"`5__63370887`",10.3284539733603
"`3__1210601001`",13.5195180789484
"`4__1233057821`",10.0508485129881
"`3__532325706`",17.4989902755474
"`1__459200084`",12.9203766974693
"`4__1598498710`",7.57922059438058
"`1__902409514`",9.42721546363111
"`7__1096569099`",15.345639150297
"`7__1096569098`",25.3306154921461
"`7__978174465`",13.247506298115
"`6__257601008`",11.3420681769155
"`6__257601016`",16.6085230211575
"`3__1391392880`",8.32594806262516
"`2__1633928883`",10.2510784757645
"`4__609813609`",12.2544471018409
"`1__340678425`",23.7399658443414
"`2__583906105`",11.2889013410295
"`2__773125748`",8.90744481814769
"`1__454290843`",16.3257605060111
"`5__782515660`",12.9358469893013
"`3__532335717`",16.8191711013919
"`5__1644226705`",10.8121910150526
"`6__731410928`",15.8237361337971
"`5__1644243516`",12.9174682730137
"`1__569276079`",10.2089536799443
"`3__532334030`",11.4622028357882
"`1__769998096`",13.3479872300164
"`7__1265252471`",14.7520009519326
"`2__1057907571`",29.8361437008275
"`7__1265252840`",17.0312720996237
"`7__342106661`",13.2639476669389
"`3__1210601178`",8.17527999080702
"`4__957935222`",7.80900271070193
"`6__480614333`",9.88729792496904
"`6__480614346`",6.93781219936897
"`1__769821402`",0
"`2__222531204`",11.2650510030601
"`5__269654807`",16.1565937502906
"`5__1331119770`",7.91878301335747
"`3__711647411`",10.1016432806859
"`4__1233057252`",11.8763947289151
"`2__1616245787`",9.15749807601262
"`1__365942987`",5.23985690408217
"`3__1289923187`",25.5681231663125
"`6__196045041`",13.6060381955867
"`1__300739381`",4.64933040736412
"`3__1068046684`",13.1522950536915
"`2__866925821`",16.2737581693201
"`1__567104054`",10.403902407385
"`7__978173944`",11.8499732241048
"`4__891454154`",78.7924678776957
"`7__1316163539`",17.8413516304394
"`5__1644226898`",5.19816098894034
"`3__852413967`",7.2617860925908
"`6__1029629378`",19.7271383284935
"`7__1514157775`",18.0831318924805
"`1__457844974`",15.4258105672858
"`3__1081106329`",8.27591155942949
"`5__476423763`",13.53651418309
"`7__937039796`",15.1299883615713
"`6__47129650`",12.6113525229278
"`6__242454735`",15.0640999782614
"`4__653679085`",9.18050491388842
"`1__1283059572`",14.9585208217418
"`6__257601047`",9.12471310513902
"`5__694756999`",11.8032800898287
"`1__427728227`",8.28893109630047
"`3__910754581`",10.1752902440718
"`7__496416418`",11.6256818610288
"`7__1482227179`",26.6622147644609
"`1__566952149`",11.4875195829029
"`6__196045571`",13.2958809977444
"`2__1398393179`",10.725998246294
"`4__625737868`",11.3334153732743
"`6__279232015`",13.6466183904564
"`4__626715711`",14.2317821765836
"`3__314778435`",7.38930394383824
"`2__1415966132`",11.4044151656552
"`5__782529395`",14.8742444468613
"`7__269122172`",10.110516566061
"`1__269964674`",11.6388409960362
"`6__178363441`",15.1243323887522
"`1__357173816`",9.53170414338724
"`3__304591843`",15.7736279516732
"`2__793461239`",28.5694903452874
"`2__562575702`",7.80070438854456
"`6__327563094`",12.8242360473333
"`2__1248445448`",6.75596087754162
"`1__1495829230`",17.7739524690021
"`2__625331695`",19.0181807703662
"`5__436815834`",12.697805875726
"`3__532333334`",8.38974437162192
"`1__712250082`",31.234459315766
"`7__832965526`",10.1775748529945
"`5__1542613652`",10.428519542648
"`7__1265251800`",14.9108435863326
"`3__700001245`",24.5085832970902
"`3__700001278`",27.8290328915114
"`5__539690381`",10.5779175425992
"`6__178356278`",8.17690859017074
"`4__1597458418`",8.42327466827563
"`3__1375934075`",11.2312696333277
"`4__1597458342`",6.65416136688115
"`4__1597458343`",7.73310631358537
"`4__1388025423`",7.9199960977656
"`5__488037001`",13.3380936532565
"`6__1181590362`",8.39677880235906
"`6__294645054`",9.42790587137815
"`3__1068027913`",13.221145608863
"`5__1398779444`",11.1599982755395
"`1__329062062`",16.3498177222076
"`1__454288280`",14.2453051834511
"`6__730701486`",6.443142887263
"`6__463565237`",11.363396813076
"`2__794030873`",20.254610037718
"`3__1606328271`",8.1843762883629
